province,ward,provinceShort,wardShort,wardType,provinceCode,provinceLat,provinceLon,wardCode,wardLat,wardLon,wardAreaKm2
Thủ đô Hà Nội,Xã Thạch Thất,Hà Nội,Thạch Thất,Xã,1,21.0001,105.698,93.0,21.0791,105.559,31.93
Thủ đô Hà Nội,Xã Xuân Mai,Hà Nội,Xuân Mai,Xã,1,21.0001,105.698,120.0,20.8731,105.593,50.72
Thủ đô Hà Nội,Xã Phú Nghĩa,Hà Nội,Phú Nghĩa,Xã,1,21.0001,105.698,70.0,20.9182,105.642,40.25
Thủ đô Hà Nội,Xã Quảng Bị,Hà Nội,Quảng Bị,Xã,1,21.0001,105.698,80.0,20.873,105.703,37.14
Thủ đô Hà Nội,Xã Trần Phú,Hà Nội,Trần Phú,Xã,1,21.0001,105.698,105.0,20.8423,105.65,44.36
Thủ đô Hà Nội,Xã Hòa Phú,Hà Nội,Hòa Phú,Xã,1,21.0001,105.698,36.0,20.8239,105.735,29.87
Thủ đô Hà Nội,Xã Thanh Oai,Hà Nội,Thanh Oai,Xã,1,21.0001,105.698,95.0,20.8465,105.767,26.86
Thủ đô Hà Nội,Xã Tam Hưng,Hà Nội,Tam Hưng,Xã,1,21.0001,105.698,88.0,20.8758,105.798,29.45
Thủ đô Hà Nội,Xã Dân Hòa,Hà Nội,Dân Hòa,Xã,1,21.0001,105.698,20.0,20.8094,105.792,38.43
Thủ đô Hà Nội,Xã Chương Dương,Hà Nội,Chương Dương,Xã,1,21.0001,105.698,11.0,20.8354,105.901,28.89
Thủ đô Hà Nội,Xã Thượng Phúc,Hà Nội,Thượng Phúc,Xã,1,21.0001,105.698,102.0,20.8297,105.856,28.91
Thủ đô Hà Nội,Xã Phú Xuyên,Hà Nội,Phú Xuyên,Xã,1,21.0001,105.698,72.0,20.7641,105.917,60.02
Thủ đô Hà Nội,Xã Phượng Dực,Hà Nội,Phượng Dực,Xã,1,21.0001,105.698,78.0,20.772,105.837,44.69
Thủ đô Hà Nội,Xã Chuyên Mỹ,Hà Nội,Chuyên Mỹ,Xã,1,21.0001,105.698,13.0,20.7162,105.884,35.54
Thủ đô Hà Nội,Xã Đại Xuyên,Hà Nội,Đại Xuyên,Xã,1,21.0001,105.698,19.0,20.7006,105.949,51.66
Thủ đô Hà Nội,Xã Vân Đình,Hà Nội,Vân Đình,Xã,1,21.0001,105.698,112.0,20.7209,105.789,41.6
