province,ward,provinceShort,wardShort,wardType,provinceCode,provinceLat,provinceLon,wardCode,wardLat,wardLon,wardAreaKm2
Thành phố Hà Nội,Xã Liên Minh,Hà Nội,Liên Minh,Xã,1,21.0001,105.698,9787,21.1277,105.646,23.57
Thành phố Hà Nội,Phường Kiến Hưng,Hà Nội,Kiến Hưng,Phường,1,21.0001,105.698,9552,20.9549,105.78,6.65
Thành phố Hà Nội,Phường Yên Nghĩa,Hà Nội,Yên Nghĩa,Phường,1,21.0001,105.698,9562,20.9391,105.736,13.18
Thành phố Hà Nội,Xã Bình Minh,Hà Nội,Bình Minh,Xã,1,21.0001,105.698,10126,20.904,105.762,29.86
Thành phố Hà Nội,Xã An Khánh,Hà Nội,An Khánh,Xã,1,21.0001,105.698,9877,20.9876,105.708,28.69
Thành phố Hà Nội,Phường Chương Mỹ,Hà Nội,Chương Mỹ,Phường,1,21.0001,105.698,10015,20.9248,105.699,38.9
Thành phố Hà Nội,Phường Sơn Tây,Hà Nội,Sơn Tây,Phường,1,21.0001,105.698,9574,21.1441,105.49,23.08
Thành phố Hà Nội,Phường Tùng Thiện,Hà Nội,Tùng Thiện,Phường,1,21.0001,105.698,9604,21.1212,105.458,32.34
Thành phố Hà Nội,Xã Đoài Phương,Hà Nội,Đoài Phương,Xã,1,21.0001,105.698,9616,21.0682,105.486,57.1
Thành phố Hà Nội,Xã Hòa Lạc,Hà Nội,Hòa Lạc,Xã,1,21.0001,105.698,9988,21.0119,105.514,35.37
Thành phố Hà Nội,Xã Minh Châu,Hà Nội,Minh Châu,Xã,1,21.0001,105.698,9661,21.2114,105.453,10.36
Thành phố Hà Nội,Xã Quảng Oai,Hà Nội,Quảng Oai,Xã,1,21.0001,105.698,9619,21.174,105.427,49.26
Thành phố Hà Nội,Xã Cổ Đô,Hà Nội,Cổ Đô,Xã,1,21.0001,105.698,9634,21.2688,105.397,53.25
Thành phố Hà Nội,Xã Vật Lại,Hà Nội,Vật Lại,Xã,1,21.0001,105.698,9664,21.2174,105.392,51.75
Thành phố Hà Nội,Xã Bất Bạt,Hà Nội,Bất Bạt,Xã,1,21.0001,105.698,9676,21.1674,105.332,56.43
Thành phố Hà Nội,Xã Suối Hai,Hà Nội,Suối Hai,Xã,1,21.0001,105.698,9694,21.12,105.403,51.56
Thành phố Hà Nội,Xã Ba Vì,Hà Nội,Ba Vì,Xã,1,21.0001,105.698,9700,21.0581,105.341,81.27
Thành phố Hà Nội,Xã Yên Bài,Hà Nội,Yên Bài,Xã,1,21.0001,105.698,9706,21.0536,105.419,68.19
Thành phố Hà Nội,Xã Phúc Thọ,Hà Nội,Phúc Thọ,Xã,1,21.0001,105.698,9715,21.1124,105.528,39.66
Thành phố Hà Nội,Xã Phúc Lộc,Hà Nội,Phúc Lộc,Xã,1,21.0001,105.698,9739,21.1467,105.575,41.15
Thành phố Hà Nội,Xã Hát Môn,Hà Nội,Hát Môn,Xã,1,21.0001,105.698,9772,21.0897,105.623,37.67
Thành phố Hà Nội,Xã Đan Phượng,Hà Nội,Đan Phượng,Xã,1,21.0001,105.698,9784,21.0912,105.666,15.3
Thành phố Hà Nội,Xã Dương Hòa,Hà Nội,Dương Hòa,Xã,1,21.0001,105.698,9856,21.0489,105.673,17.41
Thành phố Hà Nội,Xã Sơn Đồng,Hà Nội,Sơn Đồng,Xã,1,21.0001,105.698,9871,21.024,105.705,21.57
Thành phố Hà Nội,Xã Yên Xuân,Hà Nội,Yên Xuân,Xã,1,21.0001,105.698,4930,20.978,105.47,78.01
Thành phố Hà Nội,Xã Quốc Oai,Hà Nội,Quốc Oai,Xã,1,21.0001,105.698,9895,21.0114,105.649,24.0
Thành phố Hà Nội,Xã Tây Phương,Hà Nội,Tây Phương,Xã,1,21.0001,105.698,10003,21.0367,105.611,31.06
Thành phố Hà Nội,Xã Kiều Phú,Hà Nội,Kiều Phú,Xã,1,21.0001,105.698,9910,20.975,105.607,34.53
Thành phố Hà Nội,Xã Hưng Đạo,Hà Nội,Hưng Đạo,Xã,1,21.0001,105.698,9931,20.9673,105.67,24.9
Thành phố Hà Nội,Xã Hạ Bằng,Hà Nội,Hạ Bằng,Xã,1,21.0001,105.698,9982,21.0202,105.561,32.14
Thành phố Hà Nội,Xã Phú Cát,Hà Nội,Phú Cát,Xã,1,21.0001,105.698,9952,20.9461,105.56,51.21
Thành phố Hà Nội,Xã Thạch Thất,Hà Nội,Thạch Thất,Xã,1,21.0001,105.698,9955,21.0791,105.559,31.93
Thành phố Hà Nội,Xã Xuân Mai,Hà Nội,Xuân Mai,Xã,1,21.0001,105.698,10045,20.8731,105.593,50.72
Thành phố Hà Nội,Xã Phú Nghĩa,Hà Nội,Phú Nghĩa,Xã,1,21.0001,105.698,10030,20.9182,105.642,40.25
Thành phố Hà Nội,Xã Quảng Bị,Hà Nội,Quảng Bị,Xã,1,21.0001,105.698,10072,20.873,105.703,37.14
Thành phố Hà Nội,Xã Trần Phú,Hà Nội,Trần Phú,Xã,1,21.0001,105.698,10081,20.8423,105.65,44.36
Thành phố Hà Nội,Xã Hòa Phú,Hà Nội,Hòa Phú,Xã,1,21.0001,105.698,10096,20.8239,105.735,29.87
Thành phố Hà Nội,Xã Thanh Oai,Hà Nội,Thanh Oai,Xã,1,21.0001,105.698,10114,20.8465,105.767,26.86
Thành phố Hà Nội,Xã Tam Hưng,Hà Nội,Tam Hưng,Xã,1,21.0001,105.698,10144,20.8758,105.798,29.45
Thành phố Hà Nội,Xã Dân Hòa,Hà Nội,Dân Hòa,Xã,1,21.0001,105.698,10180,20.8094,105.792,38.43
Thành phố Hà Nội,Xã Chương Dương,Hà Nội,Chương Dương,Xã,1,21.0001,105.698,10237,20.8354,105.901,28.89
Thành phố Hà Nội,Xã Thượng Phúc,Hà Nội,Thượng Phúc,Xã,1,21.0001,105.698,10231,20.8297,105.856,28.91
Thành phố Hà Nội,Xã Phú Xuyên,Hà Nội,Phú Xuyên,Xã,1,21.0001,105.698,10273,20.7641,105.917,60.02
Thành phố Hà Nội,Xã Phượng Dực,Hà Nội,Phượng Dực,Xã,1,21.0001,105.698,10279,20.772,105.837,44.69
Thành phố Hà Nội,Xã Chuyên Mỹ,Hà Nội,Chuyên Mỹ,Xã,1,21.0001,105.698,10330,20.7162,105.884,35.54
Thành phố Hà Nội,Xã Đại Xuyên,Hà Nội,Đại Xuyên,Xã,1,21.0001,105.698,10342,20.7006,105.949,51.66
Thành phố Hà Nội,Xã Vân Đình,Hà Nội,Vân Đình,Xã,1,21.0001,105.698,10354,20.7209,105.789,41.6
Thành phố Hà Nội,Xã Ứng Thiên,Hà Nội,Ứng Thiên,Xã,1,21.0001,105.698,10369,20.7738,105.759,38.4
Thành phố Hà Nội,Xã Ứng Hòa,Hà Nội,Ứng Hòa,Xã,1,21.0001,105.698,10402,20.6888,105.848,67.8
Thành phố Hà Nội,Xã Hòa Xá,Hà Nội,Hòa Xá,Xã,1,21.0001,105.698,10417,20.6673,105.79,40.42
Thành phố Hà Nội,Xã Mỹ Đức,Hà Nội,Mỹ Đức,Xã,1,21.0001,105.698,10441,20.646,105.692,52.73
Thành phố Hà Nội,Xã Phúc Sơn,Hà Nội,Phúc Sơn,Xã,1,21.0001,105.698,10459,20.7809,105.681,49.31
Thành phố Hà Nội,Xã Hồng Sơn,Hà Nội,Hồng Sơn,Xã,1,21.0001,105.698,10465,20.7156,105.706,54.38
Thành phố Hà Nội,Xã Hương Sơn,Hà Nội,Hương Sơn,Xã,1,21.0001,105.698,10489,20.6192,105.763,69.11
Tỉnh Tuyên Quang,Phường Hà Giang 1,Tuyên Quang,Hà Giang 1,Phường,8,22.4897,105.099,694,22.8072,104.935,82.69
Tỉnh Tuyên Quang,Phường Hà Giang 2,Tuyên Quang,Hà Giang 2,Phường,8,22.4897,105.099,691,22.8605,104.963,60.62
Tỉnh Tuyên Quang,Xã Ngọc Đường,Tuyên Quang,Ngọc Đường,Xã,8,22.4897,105.099,700,22.8101,105.094,98.07
Tỉnh Tuyên Quang,Xã Phố Bảng,Tuyên Quang,Phố Bảng,Xã,8,22.4897,105.099,745,23.2231,105.174,77.71
Tỉnh Tuyên Quang,Xã Lũng Cú,Tuyên Quang,Lũng Cú,Xã,8,22.4897,105.099,715,23.3241,105.302,95.2
Tỉnh Tuyên Quang,Xã Đồng Văn,Tuyên Quang,Đồng Văn,Xã,8,22.4897,105.099,721,23.2568,105.347,122.49
Tỉnh Tuyên Quang,Xã Sà Phìn,Tuyên Quang,Sà Phìn,Xã,8,22.4897,105.099,733,23.225,105.245,83.5
Tỉnh Tuyên Quang,Xã Lũng Phìn,Tuyên Quang,Lũng Phìn,Xã,8,22.4897,105.099,763,23.1378,105.262,69.46
Tỉnh Tuyên Quang,Xã Yên Minh,Tuyên Quang,Yên Minh,Xã,8,22.4897,105.099,820,23.0991,105.139,154.7
Tỉnh Tuyên Quang,Xã Mèo Vạc,Tuyên Quang,Mèo Vạc,Xã,8,22.4897,105.099,769,23.1802,105.41,92.21
Tỉnh Tuyên Quang,Xã Sơn Vĩ,Tuyên Quang,Sơn Vĩ,Xã,8,22.4897,105.099,778,23.214,105.479,110.62
Tỉnh Tuyên Quang,Xã Sủng Máng,Tuyên Quang,Sủng Máng,Xã,8,22.4897,105.099,787,23.1606,105.328,76.15
Tỉnh Tuyên Quang,Xã Khâu Vai,Tuyên Quang,Khâu Vai,Xã,8,22.4897,105.099,802,23.1162,105.481,107.46
Tỉnh Tuyên Quang,Xã Tát Ngà,Tuyên Quang,Tát Ngà,Xã,8,22.4897,105.099,808,23.09,105.384,90.6
Tỉnh Tuyên Quang,Xã Niêm Sơn,Tuyên Quang,Niêm Sơn,Xã,8,22.4897,105.099,817,23.0308,105.431,81.73
Tỉnh Tuyên Quang,Xã Thắng Mố,Tuyên Quang,Thắng Mố,Xã,8,22.4897,105.099,829,23.1948,105.116,67.68
Tỉnh Tuyên Quang,Xã Bạch Đích,Tuyên Quang,Bạch Đích,Xã,8,22.4897,105.099,832,23.1838,105.03,95.17
Tỉnh Tuyên Quang,Xã Mậu Duệ,Tuyên Quang,Mậu Duệ,Xã,8,22.4897,105.099,847,23.0564,105.236,163.31
Tỉnh Tuyên Quang,Xã Ngọc Long,Tuyên Quang,Ngọc Long,Xã,8,22.4897,105.099,859,22.99,105.332,84.26
Tỉnh Tuyên Quang,Xã Đường Thượng,Tuyên Quang,Đường Thượng,Xã,8,22.4897,105.099,865,22.9901,105.209,103.25
Tỉnh Tuyên Quang,Xã Du Già,Tuyên Quang,Du Già,Xã,8,22.4897,105.099,871,22.9154,105.234,126.94
Tỉnh Tuyên Quang,Xã Quản Bạ,Tuyên Quang,Quản Bạ,Xã,8,22.4897,105.099,874,23.028,104.978,102.87
Tỉnh Tuyên Quang,Xã Cán Tỷ,Tuyên Quang,Cán Tỷ,Xã,8,22.4897,105.099,883,23.1266,105.012,85.13
Tỉnh Tuyên Quang,Xã Nghĩa Thuận,Tuyên Quang,Nghĩa Thuận,Xã,8,22.4897,105.099,889,23.1222,104.938,80.12
Tỉnh Tuyên Quang,Xã Tùng Vài,Tuyên Quang,Tùng Vài,Xã,8,22.4897,105.099,892,23.0606,104.869,149.98
Tỉnh Tuyên Quang,Xã Lùng Tám,Tuyên Quang,Lùng Tám,Xã,8,22.4897,105.099,901,23.0115,105.077,124.14
Tỉnh Tuyên Quang,Xã Phú Linh,Tuyên Quang,Phú Linh,Xã,8,22.4897,105.099,706,22.756,105.047,112.37
Tỉnh Tuyên Quang,Xã Vị Xuyên,Tuyên Quang,Vị Xuyên,Xã,8,22.4897,105.099,913,22.6941,104.971,80.44
Tỉnh Tuyên Quang,Xã Minh Tân,Tuyên Quang,Minh Tân,Xã,8,22.4897,105.099,919,22.9612,104.919,105.7
Tỉnh Tuyên Quang,Xã Thuận Hòa,Tuyên Quang,Thuận Hòa,Xã,8,22.4897,105.099,922,22.9243,105.008,45.86
Tỉnh Tuyên Quang,Xã Tùng Bá,Tuyên Quang,Tùng Bá,Xã,8,22.4897,105.099,925,22.8961,105.099,120.49
Tỉnh Tuyên Quang,Xã Thanh Thủy,Tuyên Quang,Thanh Thủy,Xã,8,22.4897,105.099,928,22.8672,104.864,101.705
Tỉnh Tuyên Quang,Xã Lao Chải,Tuyên Quang,Lao Chải,Xã,8,22.4897,105.099,937,22.8549,104.79,157.99
Tỉnh Tuyên Quang,Xã Cao Bồ,Tuyên Quang,Cao Bồ,Xã,8,22.4897,105.099,952,22.7574,104.882,111.18
Tỉnh Tuyên Quang,Xã Thượng Sơn,Tuyên Quang,Thượng Sơn,Xã,8,22.4897,105.099,958,22.6584,104.835,142.6
Tỉnh Tuyên Quang,Xã Linh Hồ,Tuyên Quang,Linh Hồ,Xã,8,22.4897,105.099,970,22.6951,105.096,181.44
Tỉnh Tuyên Quang,Xã Việt Lâm,Tuyên Quang,Việt Lâm,Xã,8,22.4897,105.099,967,22.6668,104.907,92.66
Tỉnh Tuyên Quang,Xã Bạch Ngọc,Tuyên Quang,Bạch Ngọc,Xã,8,22.4897,105.099,976,22.5885,105.081,72.2
