provinceCode,isMergedProvince,districtCode,districtType,wardCode,wardType,isMergedWard,isDividedWard,province,district,ward,newProvince,newWard,newProvinceCode,newWardCode,newWardType,newWardLat,newWardLon,newWardAreaKm2
1,False,5,Quận,157.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Nghĩa Đô,Thủ đô Hà Nội,Nghĩa Đô,1,60.0,phường,21.0451,105.794,4.34
1,False,5,Quận,157.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Nghĩa Đô,Thủ đô Hà Nội,Ngọc Hà,1,61.0,phường,21.0381,105.816,2.68
1,False,5,Quận,157.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Nghĩa Đô,Thủ đô Hà Nội,Tây Hồ,1,89.0,phường,21.058,105.82,10.72
1,False,5,Quận,160.0,Phường,True,False,Thành phố Hà Nội,Quận Cầu Giấy,Phường Nghĩa Tân,Thủ đô Hà Nội,Nghĩa Đô,1,60.0,phường,21.0451,105.794,4.34
1,False,5,Quận,163.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Mai Dịch,Thủ đô Hà Nội,Nghĩa Đô,1,60.0,phường,21.0451,105.794,4.34
1,False,5,Quận,163.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Mai Dịch,Thủ đô Hà Nội,Phú Diễn,1,67.0,phường,21.0489,105.766,6.29
1,False,5,Quận,163.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Mai Dịch,Thủ đô Hà Nội,Từ Liêm,1,107.0,phường,21.0204,105.771,10.18
1,False,5,Quận,166.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng,Thủ đô Hà Nội,Cầu Giấy,1,10.0,phường,21.0309,105.788,3.74
1,False,5,Quận,166.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng,Thủ đô Hà Nội,Nghĩa Đô,1,60.0,phường,21.0451,105.794,4.34
1,False,5,Quận,167.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,Thủ đô Hà Nội,Cầu Giấy,1,10.0,phường,21.0309,105.788,3.74
1,False,5,Quận,167.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,Thủ đô Hà Nội,Nghĩa Đô,1,60.0,phường,21.0451,105.794,4.34
1,False,5,Quận,169.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Quan Hoa,Thủ đô Hà Nội,Cầu Giấy,1,10.0,phường,21.0309,105.788,3.74
1,False,5,Quận,169.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Quan Hoa,Thủ đô Hà Nội,Nghĩa Đô,1,60.0,phường,21.0451,105.794,4.34
1,False,5,Quận,172.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,Thủ đô Hà Nội,Cầu Giấy,1,10.0,phường,21.0309,105.788,3.74
1,False,5,Quận,172.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,Thủ đô Hà Nội,Yên Hòa,1,123.0,phường,21.0139,105.796,4.1
1,False,5,Quận,175.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Trung Hòa,Thủ đô Hà Nội,Đại Mỗ,1,17.0,phường,20.9935,105.775,8.1
1,False,5,Quận,175.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Trung Hòa,Thủ đô Hà Nội,Thanh Xuân,1,97.0,phường,20.9995,105.805,3.24
1,False,5,Quận,175.0,Phường,True,True,Thành phố Hà Nội,Quận Cầu Giấy,Phường Trung Hòa,Thủ đô Hà Nội,Yên Hòa,1,123.0,phường,21.0139,105.796,4.1
1,False,6,Quận,178.0,Phường,True,True,Thành phố Hà Nội,Quận Đống Đa,Phường Cát Linh,Thủ đô Hà Nội,Giảng Võ,1,30.0,phường,21.0275,105.814,2.6
1,False,6,Quận,178.0,Phường,True,True,Thành phố Hà Nội,Quận Đống Đa,Phường Cát Linh,Thủ đô Hà Nội,Ô Chợ Dừa,1,64.0,phường,21.0243,105.826,1.83
